counter	timestamp	deadtime	chA_height	chA_position	chA_integral	chB_height	chB_position	chB_integral	chC_height	chC_position	chC_integral	chD_height	chD_position	chD_integral
34	1679327160224893.8	0.010299251061806314	452.2856	100	9.499592e-08	174.98361	100	3.7451244e-08	512.70544	100	1.0677169287109376e-07	434.70428	100	9.037844e-08
35	1679327160226762.5	0.06340332697027543	324.3885	100	6.75711e-08	413.1059	100	8.701444e-08	342.86267	100	7.166399780273438e-08	0.0	0	0.0
36	1679327160287826.8	0.003733015364592466	301.18356	100	6.237752e-08	0.0	0	0.0	394.76492	100	8.317089868164063e-08	593.0573	100	1.2511495e-07
37	1679327160339299.0	0.004386675992792325	375.2995	100	7.863597e-08	390.0806	100	7.777229e-08	186.82452	100	3.842695068359375e-08	349.2745	100	7.323573e-08
38	1679327160340474.5	0.10784093462143339	297.26697	100	6.469703e-08	112.32727	100	2.2968198e-08	241.48637	100	5.051365283203126e-08	0.0	0	0.0
39	1679327160359173.8	0.0114753059024916	383.36307	100	8.3805034e-08	431.44662	100	9.08541e-08	221.0853	100	4.418583349609375e-08	347.86508	100	7.2389504e-08
40	1679327160379758.5	0.011180555555555555	185.8396	100	3.6782435e-08	453.87323	100	9.4812506e-08	355.34796	100	7.421293017578124e-08	221.28839	100	4.8615973e-08
41	1679327160384695.8	0.02239508497250161	186.64935	100	4.1316632e-08	0.0	0	0.0	201.95981	100	4.427784765625001e-08	197.58502	100	4.1431836e-08
42	1679327160448505.5	0.0038586000178949566	266.41107	100	5.4903392e-08	552.96094	100	1.2088783e-07	410.07245	100	8.574603564453126e-08	358.2438	100	7.508707e-08
43	1679327160541961.5	0.0026836597772460346	232.21536	100	4.995559e-08	309.89307	100	6.761703e-08	341.77686	100	7.120246337890624e-08	356.0886	100	7.0917345e-08
44	1679327160581347.2	0.006296085529900353	315.68317	100	6.9577915e-08	251.41814	100	5.5105705e-08	511.14163	100	1.0755936474609377e-07	363.7927	100	7.7002134e-08
45	1679327160592873.2	0.021350104474832942	366.0645	100	7.61784e-08	200.47156	100	4.0345693e-08	401.58997	100	8.4702251953125e-08	206.64697	100	4.2761634e-08
46	1679327160613406.8	0.012281047951804432	528.09	100	1.1048098e-07	370.15155	100	8.089294e-08	0.0	0	0.0	0.0	0	0.0
47	1679327160625191.2	0.01267942095269208	502.87665	100	1.0517853e-07	356.46716	100	7.4056295e-08	514.48376	100	1.0717283203125e-07	356.60385	100	7.5226104e-08
48	1679327160643362.2	0.007314126638128003	239.32816	100	5.2428224e-08	447.5012	100	9.311234e-08	276.04837	100	6.115274926757813e-08	329.37497	100	6.926698e-08
49	1679327160653865.2	0.013966037136962386	563.8894	100	1.1862252e-07	419.21124	100	8.817361e-08	477.91925	100	1.0464263525390624e-07	534.9573	100	1.1243892e-07
50	1679327160662354.5	0.023727868395371533	609.27124	100	1.2821036e-07	364.55502	100	7.591164e-08	203.00891	100	4.261415039062501e-08	283.05225	100	5.9371704e-08
52	1679327160685309.2	0.040329052969502406	495.5503	100	1.034334e-07	282.4293	100	5.9433972e-08	525.4626	100	1.0989612255859376e-07	529.3477	100	1.1055625e-07
53	1679327160692877.5	0.014986418558181648	317.62073	100	6.6445494e-08	369.69806	100	7.67117e-08	296.0494	100	6.409502709960938e-08	443.53275	100	9.254121e-08
54	1679327160695195.8	0.020570459124164987	68.66388	100	1.5932761e-08	883.05206	100	1.8474722e-07	339.76138	100	7.139421826171876e-08	414.23273	100	8.9946155e-08
55	1679327160696263.8	0.049034497721848556	548.64594	100	1.1488913e-07	597.1132	100	1.2484747e-07	210.7909	100	4.665706689453125e-08	209.09314	100	4.3199137e-08
56	1679327160698548.8	0.01802566005725798	480.8285	100	1.0050814e-07	360.7865	100	7.624143e-08	419.95093	100	8.827238037109375e-08	613.0879	100	1.2794133e-07
57	1679327160789109.2	0.0025062985858065735	305.51727	100	6.667651e-08	529.87054	100	1.1166542e-07	333.32004	100	7.010983154296875e-08	269.20795	100	5.6044634e-08
58	1679327160794574.8	0.02200151427426179	647.07	100	1.3520383e-07	342.39047	100	7.15707e-08	149.47101	100	3.055670166015625e-08	296.09848	100	6.1462586e-08
59	1679327160812019.2	0.012941511970559079	241.2958	100	5.3169725e-08	0.0	0	0.0	309.95367	100	6.753766870117188e-08	688.9995	100	1.4375341e-07
60	1679327160818110.5	0.008272800645682001	320.46924	100	6.687967e-08	469.4948	100	9.856582e-08	367.86047	100	7.704377197265625e-08	164.1568	100	3.5829817e-08
61	1679327160818904.5	0.07240356083086054	484.03638	100	1.01678076e-07	396.2139	100	7.9292185e-08	246.9803	100	5.2024461914062504e-08	227.61797	100	4.694488e-08
62	1679327160871579.2	0.004766306675985841	235.80484	100	4.7051948e-08	577.2565	100	1.2026688e-07	329.39383	100	7.244419702148439e-08	244.48056	100	5.1731014e-08
63	1679327160956159.8	0.0032632863378769476	150.7854	100	2.9635897e-08	453.30045	100	9.047812e-08	364.5315	100	7.587347192382813e-08	327.71924	100	6.931538e-08
64	1679327160971800.2	0.009012750119195927	659.1697	100	1.3887336e-07	358.2861	100	7.429482e-08	0.0	0	0.0	0.0	0	0.0
65	1679327161001106.8	0.008661902215307826	222.0057	100	4.62631e-08	455.5062	100	9.5602736e-08	473.37067	100	9.896206225585937e-08	378.02072	100	7.9337504e-08
66	1679327161020244.2	0.016503371456245575	116.26132	100	2.470013e-08	283.19656	100	5.9039657e-08	264.95862	100	5.5186595214843756e-08	378.97574	100	7.9946304e-08
67	1679327161042121.5	0.011553427771948234	515.805	100	1.08461805e-07	531.5571	100	1.1129907e-07	490.5477	100	1.0304668823242189e-07	473.85602	100	9.929197e-08
68	1679327161047052.2	0.02123734981803679	247.64072	100	5.4219374e-08	198.97559	100	4.102967e-08	269.83606	100	5.7143483886718746e-08	346.42163	100	7.15728e-08
